sample	stage	cluster_size
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
GSM7980865_PTC-2	PTC	1
